application_key,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33,mvar34,mvar35,mvar36,mvar37,mvar38,mvar39,mvar40,mvar41,mvar42,mvar43,mvar44,mvar45,mvar46,mvar47,default_ind
230032,1696,1.6541,0,0,0,0,6015,322,40369,18414,missing,6423,3067,123875,missing,1,1,1,3,3,94.78,8987.18,N/A,72.25,1462,4532,2890,61,4532,1095,3376,625,1.1667,1,0,8,10,4,1,73.78,82.547,0.08696,10,0.63899,na,0,C,0
230033,1846,0.8095,0,0,0,102,7532,3171,18234,13664,missing,765,1931,42613,missing,0,0,0,0,0,74.25,953.06,953.06,4.8,1028,2099,2099,30386,2281,missing,2251,169,0.4167,0,0,8,0,2,0,99.129,missing,0,13,0.63836,na,na,L,1
230034,1745,0.4001,0,0,0,missing,2536,missing,missing,2536,missing,missing,missing,76109,missing,na,na,na,0,0,N/A,N/A,N/A,N/A,missing,missing,missing,669,4623,3772,missing,missing,25.0833,0,na,1,na,1,0,missing,29.29,0,1,1,na,0,C,1
230035,1739,0.2193,0,0,0,1982,26440,4955,20316,37013,missing,0,0,84235,missing,0,0,0,0,0,N/A,0,N/A,0,1308,2525,791,91,5992,missing,3741,215,10.3333,0,0,3,3,2,0,96.272,missing,0.15385,3,0.53241,0,0,L,0
230036,1787,0.0118,0.225,0,0,5451,5494,5494,7987,4696,missing,2257,27815,123875,524848,0,0,0,0,0,20.51,796.67,N/A,28.72,801,2281,2281,487,2707,missing,1947,158,0.9167,0,0,2,3,2,0,115.019,missing,0,1,0.92665,na,na,L,0
230037,1579,N/A,3.502,0,0,missing,missing,missing,missing,0,199,missing,missing,77298,missing,na,na,na,0,0,N/A,N/A,N/A,N/A,missing,missing,missing,183,973,missing,missing,missing,1.3333,0,na,2,na,2,na,missing,missing,1.5,0,N/A,na,na,C,1
230038,1818,0.4001,0,0,0,missing,1088,missing,1536,1498,missing,448,2331,123875,missing,na,0,0,0,0,N/A,N/A,N/A,29.16,1034,760,missing,30386,3437,missing,791,34,9.3333,0,na,2,0,0,0,88.171,missing,0,2,0.87224,na,0,C,1
230039,na,N/A,N/A,N/A,N/A,missing,missing,missing,missing,missing,missing,missing,missing,198200,1263525,na,na,na,0,na,N/A,N/A,N/A,N/A,missing,missing,missing,missing,missing,missing,missing,missing,0.0833,na,na,na,na,na,na,missing,missing,missing,na,N/A,na,na,C,0
230040,1836,0.1358,0,0,0,347,38964,17828,70729,65843,missing,16298,18877,109010,missing,0,0,0,1,1,32.02,0,0,32.92,3180,8943,8943,1490,12075,missing,missing,1673,5.9167,0,na,6,12,2,0,missing,missing,0,10,0.89868,0,0,L,0
230041,1839,0.1981,0,0,0,793,6131,6045,48959,31640,missing,10565,14282,99100,146668,0,0,0,1,1,46.17,N/A,N/A,49.07,1701,8912,2707,61,11193,4593,missing,615,1.75,0,na,10,7,0,0,missing,45.59,0.08824,14,0.33834,na,0,L,0
230042,1903,0,0,0,0,22,19518,9910,90618,110271,missing,1323,3513,123875,missing,0,0,0,0,0,12.35,N/A,N/A,2.49,2240,7787,5992,30386,7787,3042,missing,810,15.6667,0,na,9,11,2,0,missing,missing,0,17,0.8062,0,0,L,0
230043,1681,1.5888,5.685,3.566,0,93,3554,439,2527,7086,8313,1529,1445,59460,missing,0,0,0,1,1,60.51,3285.71,3285.71,60.51,570,913,913,30,4076,2707,missing,75,17.6667,1,0,11,0,5,1,missing,missing,0.61111,7,0.81172,0,0,C,0
230044,1841,0.5388,0,0,0,1487,19449,19449,6739,6612,missing,6443,25031,72343,missing,0,0,0,0,0,24.52,2181.88,0,1.88,426,456,395,30386,700,missing,missing,42,0.4167,0,0,1,0,6,0,missing,missing,0,5,0.98031,na,na,C,0
230045,1794,1.9684,0,0,0,856,8609,8609,60545,24893,missing,20287,21127,247750,991000,0,0,0,1,1,53.93,6098.18,6098.18,46.39,1511,4593,3620,1490,12106,3528,12075,646,1.3333,0,0,4,6,1,0,missing,missing,0,13,0.35724,na,0,C,0
230046,1669,3.8558,18.465,6.292,1.2,missing,142,missing,38,142,17287,missing,missing,42613,79244,na,na,na,0,0,N/A,N/A,N/A,N/A,missing,missing,missing,30,1703,639,1673,missing,1.5833,0,na,23,na,15,0,107.825,98.664,0.56,11,0.29169,na,1,C,0
230047,1583,3.0284,16.325,0,0,missing,missing,missing,51450,0,3470,0,548,119911,336315,0,0,0,0,0,N/A,N/A,N/A,N/A,2420,6357,6357,0,7087,missing,missing,1591,1.0833,0,na,9,17,4,0,missing,missing,0.32353,2,N/A,0,na,C,0
